ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
61,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,BOBINA,BOBINA   NT4560-NT5260- NT5860-NT6020 CRAFTOP,,,NT4560-NT5260- NT5860-NT6020,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,13.11964,26.23928,,
62,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,BOMBA DE,BOMBA DE ACEITE  NT4560-NT5260- NT5860-NT6020 CRAFTOP,ACEITE,,NT4560-NT5260- NT5860-NT6020,CRAFTOP,PRODUCTO,5,5,U. MIN,,,,9.724194,48.62097,,
63,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,BRIDA,BRIDA DE CARBURADOR  NTB330D-NT430D-NTB520D-NTBG520D-NTA520E10A-NTMU430D4IN1 CRAFTOP,DE CARBURADOR,,NTB330D-NT430D-NTB520D-NTBG520D-NTA520E10A-NTMU430D4IN1,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,3.273125,6.54625,,
64,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CABLE DE ACELERADOR,CABLE DE ACELERADOR   NTB330D-NTB430D-NTB520D-NTBG520D CRAFTOP,,,NTB330D-NTB430D-NTB520D-NTBG520D,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,3.862065,7.72413,,
65,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CAJA DE ENGRANAJE-REDUCTORA,CAJA DE ENGRANAJE-REDUCTORA   NTB330D-NTB430D-NTB520D CRAFTOP,,,NTB330D-NTB430D-NTB520D,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,26.5,53,,
66,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CAMPANA COMPLETA Y BASE DE CONEXION,CAMPANA COMPLETA Y BASE DE CONEXION   NTB330D-NTB430D- NTB520D-NTBG520D-NTMU430D4IN1-NTA520E-10A CRAFTOP,,,NTB330D-NTB430D- NTB520D-NTBG520D-NTMU430D4IN1-NTA520E-10A,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,6.378609,12.757218,,
67,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CAMPANA Y PIÑON LOCO,CAMPANA Y PIÑON LOCO   NT4560-NT5260- NT5860-NT6020 CRAFTOP,,,NT4560-NT5260- NT5860-NT6020,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,11.802826,23.605652,,
68,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CARBURADOR,CARBURADOR COMPLETO  NTB430-NTB520D-NTBG520D-NTMU430D4IN1 CRAFTOP,COMPLETO,,NTB430-NTB520D-NTBG520D-NTMU430D4IN1,CRAFTOP,PRODUCTO,3,3,U. MIN,,,,10.282792,30.848376,,
69,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CIGUEÑAL,CIGUEÑAL SOLO  NT6020 CRAFTOP,SOLO,,NT6020,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,30.28,60.56,,
70,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,CILINDRO,CILINDRO SOLO  NTB430D- NTMU430D41N1 CRAFTOP,SOLO,,NTB430D- NTMU430D41N1,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,26.80972,53.61944,,
